mass_g,kingdom,phylum,class,order,family,genus,species
2.5,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex arizonae
6.3,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex arunchi
8.262,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex asper
8.324,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex bairdi
7.867,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex bedfordiae
16.01,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex bendirii
11.9,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex buchariensis
5.709,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex caecutiens
4.85,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex camtschatica
5.75,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex cansulus
9.345,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex coronatus
6.7,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex cylindricauda
7.448,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex daphaenodon
4.986,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex dispar
7.0,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex emarginatus
7.85,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex excelsus
4.463,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex gracillimus
6.307,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex granarius
3.624,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex haydeni
4.547,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex hosonoi
3.006,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex hoyi
3.5,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex pribilofensis
10.78,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex isodon
8.0,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex ixtlanensis
4.197,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex jacksoni
7.8,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex kozlovi
4.894,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex lyelli
7.537,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex macrodon
7.748,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex maritimensis
8.0,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex mediopua
5.557,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex merriami
6.023,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex milleri
2.492,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex minutissimus
3.872,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex minutus
13.75,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex mirabilis
5.876,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex monticolus
2.449,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex nanus
6.495,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex neomexicanus
7.0,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex oreopolus
5.292,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex orizabae
6.292,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex ornatus
6.975,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex pacificus
7.35,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex planiceps
4.45,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex portenkoi
3.113,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex preblei
3.5,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex pribilofensis
10.0,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex raddei
10.39,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex roboratus
5.1,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex rohweri
8.257,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex samniticus
7.848,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex satunini
7.0,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex sclateri
6.067,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex shinto
8.584,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex sinalis
7.953,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex sonomae
6.567,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex stizodon
3.783,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex tenellus
5.75,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex thibetanus
4.956,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex trowbridgii
7.588,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex tundrensis
4.1,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex ugyunak
12.43,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex unguiculatus
4.764,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex vagrans
7.0,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex ventralis
6.125,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex veraecrucis
7.5,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex veraepacis
4.85,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex volnuchini
1.6,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex yukonicus
25.5,Animalia,Chordata,Mammalia,Rodentia,Muridae,Soricomys,Soricomys kalinga
26.5,Animalia,Chordata,Mammalia,Rodentia,Muridae,Soricomys,Soricomys musseri
14.19,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Soriculus,Soriculus nigrescens
4080.0,Animalia,Chordata,Actinopteri,Siluriformes,Pimelodidae,Sorubim,Sorubim cuspicaudus
2082.0,Animalia,Chordata,Actinopteri,Siluriformes,Pimelodidae,Sorubim,Sorubim lima
509.4,Animalia,Chordata,Teleostei,Siluriformes,Pimelodidae,Sorubim,Sorubim trigonocephalus
14200.0,Animalia,Chordata,Actinopteri,Siluriformes,Pimelodidae,Sorubimichthys,Sorubimichthys planiceps
80000.0,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Sotalia,Sotalia guianensis
105000.0,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Sousa,Sousa teuszii
112.1,Animalia,Chordata,Mammalia,Rodentia,Octodontidae,Spalacopus,Spalacopus cyanus
503.3,Animalia,Chordata,Mammalia,Rodentia,Spalacidae,Spalax,Spalax arenarius
163.3,Animalia,Chordata,Mammalia,Rodentia,Spalacidae,Spalax,Spalax carmeli
200.9,Animalia,Chordata,Mammalia,Rodentia,Spalacidae,Spalax,Spalax ehrenbergi
603.0,Animalia,Chordata,Mammalia,Rodentia,Spalacidae,Spalax,Spalax giganteus
180.7,Animalia,Chordata,Mammalia,Rodentia,Spalacidae,Spalax,Spalax leucodon
470.0,Animalia,Chordata,Mammalia,Rodentia,Spalacidae,Spalax,Spalax microphthalmus
177.5,Animalia,Chordata,Mammalia,Rodentia,Spalacidae,Spalax,Spalax nehringi
360.9,Animalia,Chordata,Mammalia,Rodentia,Spalacidae,Spalax,Spalax uralensis
378.8,Animalia,Chordata,Mammalia,Rodentia,Spalacidae,Spalax,Spalax zemni
219.4,Animalia,Chordata,Squamata,Squamata,Colubridae,Spalerosophis,Spalerosophis arenarius
411.6,Animalia,Chordata,Squamata,Squamata,Colubridae,Spalerosophis,Spalerosophis atriceps
681.3,Animalia,Chordata,Squamata,Squamata,Colubridae,Spalerosophis,Spalerosophis diadema
328.2,Animalia,Chordata,Squamata,Squamata,Colubridae,Spalerosophis,Spalerosophis dolichospilus
290.7,Animalia,Chordata,Squamata,Squamata,Colubridae,Spalerosophis,Spalerosophis microlepis
6100.0,Animalia,Chordata,Actinopteri,Perciformes,Sparidae,Sparidentex,Sparidentex hasta
1600.0,Animalia,Chordata,Actinopteri,Perciformes,Scaridae,Sparisoma,Sparisoma viride
11000.0,Animalia,Chordata,Actinopteri,Perciformes,Sparidae,Sparodon,Sparodon durbanensis
11.0,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Spartonoica,Spartonoica maluroides
6708.0,Animalia,Chordata,Actinopteri,Perciformes,Sparidae,Sparus,Sparus aurata
612.6,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,Spatula clypeata
130.0,Animalia,Chordata,Actinopteri,Siluriformes,Loricariidae,Spatuloricaria,Spatuloricaria tuira
30.0,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Spea,Spea bombifrons
12.1,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Spea,Spea multiplicata
220.0,Animalia,Chordata,Actinopteri,Siluriformes,Loricariidae,Spectracanthicus,Spectracanthicus zuanoni
1514.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Speculanas,Speculanas specularis
64.75,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Speculipastor,Speculipastor bicolor
16.1,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops,Zosterops brunneus
14.8,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops,Zosterops leucophaeus
14.8,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops,Zosterops lugubris
870.0,Animalia,Chordata,Mammalia,Rodentia,Muridae,Spelaeomys,Spelaeomys florensis
8.25,Animalia,Chordata,Aves,Passeriformes,Timaliidae,Spelaeornis,Spelaeornis badeigularis
10.75,Animalia,Chordata,Aves,Passeriformes,Timaliidae,Spelaeornis,Spelaeornis caudatus
12.42,Animalia,Chordata,Aves,Passeriformes,Timaliidae,Spelaeornis,Spelaeornis chocolatinus
5.0,Animalia,Chordata,Aves,Passeriformes,Timaliidae,Spelaeornis,Spelaeornis formosus
12.42,Animalia,Chordata,Aves,Passeriformes,Timaliidae,Spelaeornis,Spelaeornis kinneari
12.0,Animalia,Chordata,Aves,Passeriformes,Timaliidae,Spelaeornis,Spelaeornis longicaudatus
12.42,Animalia,Chordata,Aves,Passeriformes,Timaliidae,Spelaeornis,Spelaeornis oatesi
12.42,Animalia,Chordata,Aves,Passeriformes,Timaliidae,Spelaeornis,Spelaeornis reptatus
7.0,Animalia,Chordata,Aves,Passeriformes,Timaliidae,Spelaeornis,Spelaeornis troglodytoides
2.26,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Speleomantes,Speleomantes ambrosii
3.92,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Speleomantes,Speleomantes imperialis
5.08,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Speleomantes,Speleomantes supramontis
