taxon,mass_g,source_mass,n,kingdom,phylum,class,order,family,genus,species,confidence,form,subspecies,variety
Thermophilum_babaulti,1.295,Makarieva_2008,1.0,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Anthia,Anthia babaulti,98,,,
Thermophilum_hexastictum,2.025,Makarieva_2008,1.0,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Anthia,Anthia hexasticta,97,,,
Thermophis_baileyi,75.4,Cai_etal_2025; Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Colubridae,Thermophis,Thermophis baileyi,99,,,
Thermophis_shangrila,121.0,Cai_etal_2025,1.0,Animalia,Chordata,Squamata,,Colubridae,Thermophis,Thermophis shangrila,99,,,
Thermophis_zhaoermii,135.4,Cai_etal_2025; Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,,Colubridae,Thermophis,Thermophis zhaoermii,99,,,
Theropithecus_gelada,14700.0,AnAge; Brown_etal_2018; Cai_etal_2025; Faurby_etal_2018; GalanAcedo_etal_2026; Quaardvark; Smith_2003,7.0,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Theropithecus,Theropithecus gelada,99,,,
Thescelocichla_leucopleura,62.3,Lislevand_etal_2007; Wilman_etal_2014,2.0,Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Thescelocichla,Thescelocichla leucopleura,99,,,
Thetys_vagina,15.7,Pata_2025,1.0,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Thetys,Thetys vagina,99,,,
Thinocorus_orbignyianus,119.8,Cai_etal_2025; Lislevand_etal_2007; Wilman_etal_2014,3.0,Animalia,Chordata,Aves,Charadriiformes,Thinocoridae,Thinocorus,Thinocorus orbignyianus,99,,,
Thinocorus_rumicivorus,54.37,Lislevand_etal_2007; Makarieva_2008; Wilman_etal_2014,3.0,Animalia,Chordata,Aves,Charadriiformes,Thinocoridae,Thinocorus,Thinocorus rumicivorus,99,,,
Thinornis_novaeseelandiae,61.0,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Thinornis,Thinornis novaeseelandiae,99,,,
Thinornis_rubricollis,100.0,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Phalaropus,Phalaropus lobatus,98,,,
Thiobacillus_ferrooxidans,2.5e-13,DeLong_etal_2010,1.0,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus ferrooxidans,98,,,
Thiobacillus_intermedius,4e-13,DeLong_etal_2010,1.0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Thiomonas,Thiomonas intermedia,98,,,
Thiobacillus_thiooxidans,2.5e-13,DeLong_etal_2010,1.0,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus thiooxidans,98,,,
Thiocapsa_roseopersicina,1e-12,DeLong_etal_2010,1.0,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiocapsa,Thiocapsa roseopersicina,99,,,
Thiocystis_violacea,1.1e-11,DeLong_etal_2010,1.0,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiocystis,Thiocystis violacea,99,,,
Thlypopsis_fulviceps,12.0,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Thlypopsis,Thlypopsis fulviceps,99,,,
Thlypopsis_inornata,15.0,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Thlypopsis,Thlypopsis inornata,99,,,
Thlypopsis_ornata,12.0,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Thlypopsis,Thlypopsis ornata,99,,,
