mass_g,kingdom,phylum,class,order,family,genus,species
18.68,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Elaenia ruficeps
24.41,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Elaenia spectabilis
33330.0,Animalia,Chordata,Actinopteri,Perciformes,Carangidae,Elagatis,Elagatis bipinnulata
478.8,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanoides,Elanoides forficatus
266.1,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus,Elanus axillaris
218.7,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus,Elanus caeruleus
311.2,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus,Elanus scriptus
1545.0,Animalia,Chordata,Squamata,Squamata,Colubridae,Elaphe,Elaphe anomala
183.2,Animalia,Chordata,Squamata,Squamata,Colubridae,Elaphe,Elaphe bimaculata
1802.0,Animalia,Chordata,Squamata,Squamata,Colubridae,Elaphe,Elaphe carinata
301.9,Animalia,Chordata,Squamata,Squamata,Colubridae,Elaphe,Elaphe davidi
455.7,Animalia,Chordata,Squamata,Squamata,Colubridae,Pantherophis,Pantherophis guttatus
600.8,Animalia,Chordata,Squamata,Squamata,Colubridae,Pantherophis,Pantherophis obsoletus
3445.0,Animalia,Chordata,Squamata,Squamata,Colubridae,Elaphe,Elaphe quadrivirgata
2529.0,Animalia,Chordata,Squamata,Squamata,Colubridae,Elaphe,Elaphe quatuorlineata
681.3,Animalia,Chordata,Squamata,Squamata,Colubridae,Elaphe,Elaphe sauromates
450.9,Animalia,Chordata,Squamata,Squamata,Colubridae,Elaphe,Elaphe schrenckii
84.7,Animalia,Chordata,Squamata,Squamata,Colubridae,Elaphe,Elaphe zoigeensis
31110.0,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Elaphodus,Elaphodus cephalophus
9.0,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Elaphrornis,Elaphrornis palliseri
148700.0,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Elaphurus,Elaphurus davidianus
103.3,Animalia,Chordata,Squamata,Squamata,Elapidae,Elapognathus,Elapognathus coronatus
47.6,Animalia,Chordata,Squamata,Squamata,Elapidae,Elapognathus,Elapognathus minor
20.2,Animalia,Chordata,Squamata,Squamata,Colubridae,Elapoidis,Elapoidis fusca
168.7,Animalia,Chordata,Squamata,Squamata,Colubridae,Elapomorphus,Elapomorphus quinquelineatus
16.3,Animalia,Chordata,Squamata,Squamata,Colubridae,Phalotris,Phalotris lemniscatus
256.6,Animalia,Chordata,Squamata,Squamata,Colubridae,Elapomorphus,Elapomorphus wuchereri
