mass_g,kingdom,phylum,class,order,family,genus,species
21.3,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus kuhlmanni
12.39,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus laurenti
8.418,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus lavillai
17.61,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus leftrarui
5.474,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus lemniscatus
10.79,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus lentus
31.01,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus leopardinus
9.919,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus lineomaculatus
12.21,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus loboi
10.73,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus lonquimayensis
9.287,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus lopezi
40.48,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus lorenzmuelleri
22.88,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus lutzae
11.38,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus magellanicus
19.54,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus maldonadae
36.71,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus melaniceps
24.5,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus melanogaster
11.3,Animalia,Chordata,Squamata,Hemiptera,Liolaemidae,Liolaemus,Liolaemus melanopleurus
31.8,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus melanops
15.42,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus millcayac
11.21,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus molinai
8.218,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus montanezi
13.48,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus montanus
22.88,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus monticola
6.722,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus moradoensis
7.501,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus morandae
22.4,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus morenoi
19.11,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus multicolor
12.01,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus multimaculatus
7.118,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus neuquensis
30.81,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus nigriceps
5.477,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus nigrocoeruleus
26.2,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus nigromaculatus
22.4,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus nigroviridis
39.3,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus nitidus
11.6,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus occipitalis
9.496,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus olongasta
6.675,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus omorfi
32.8,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus orientalis
11.28,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus orko
11.48,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus ornatus
11.38,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus ortizii
4.315,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus pachacutec
26.9,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus pachecoi
